City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Weather Description
0,Kieta,PG,-6.2167,155.6333,78.75,84,46,6.35,light rain
1,Rikitea,PF,-23.1203,-134.9692,73.02,77,2,14.0,clear sky
2,Cherskiy,RU,68.75,161.3,30.04,74,59,4.36,broken clouds
3,Camacha,PT,33.0833,-16.3333,72.82,69,20,12.66,few clouds
4,Tautira,PF,-17.7333,-149.15,77.02,75,25,18.3,scattered clouds
5,Butaritari,KI,3.0707,172.7902,82.9,70,72,15.01,broken clouds
6,Kudahuvadhoo,MV,2.6708,72.8944,84.51,65,88,9.28,overcast clouds
7,Ushuaia,AR,-54.8,-68.3,31.66,80,40,6.91,scattered clouds
8,Fairbanks,US,64.8378,-147.7164,42.6,76,1,6.91,clear sky
9,Kysyl-Syr,RU,63.8986,122.7617,47.32,67,100,5.46,overcast clouds
10,Amapa,BR,1.0,-52.0,69.31,99,28,0.89,scattered clouds
11,Chimbote,PE,-9.0853,-78.5783,60.44,88,98,7.92,overcast clouds
12,Punta Arenas,CL,-53.15,-70.9167,30.31,86,75,3.44,broken clouds
13,Codrington,AU,-38.2667,141.9667,48.85,85,23,10.36,few clouds
14,Mar Del Plata,AR,-38.0023,-57.5575,42.82,87,0,6.91,clear sky
15,Port Alfred,ZA,-33.5906,26.891,61.45,70,98,15.86,light rain
16,Grindavik,IS,63.8424,-22.4338,50.47,100,90,10.36,overcast clouds
17,Ancud,CL,-41.8697,-73.8203,49.53,93,100,13.51,light rain
18,Sambava,MG,-14.2667,50.1667,77.25,68,42,10.02,scattered clouds
19,Chuy,UY,-33.6971,-53.4616,45.99,83,0,6.67,clear sky
20,Jamestown,US,42.097,-79.2353,59.07,99,90,4.0,mist
21,Ilulissat,GL,69.2167,-51.1,24.82,36,47,8.05,scattered clouds
22,Hithadhoo,MV,-0.6,73.0833,83.28,70,67,8.48,broken clouds
23,Berlevag,NO,70.8578,29.0864,46.35,61,20,3.44,few clouds
24,Tabory,RU,58.5198,64.5495,51.31,59,79,9.84,broken clouds
25,Baykit,RU,61.67,96.37,49.89,46,27,3.51,scattered clouds
26,Mehamn,NO,71.0357,27.8492,46.31,70,40,11.5,scattered clouds
27,Mahebourg,MU,-20.4081,57.7,76.24,72,5,10.0,clear sky
28,Kaitangata,NZ,-46.2817,169.8464,40.39,78,81,4.56,broken clouds
29,Puerto Ayora,EC,-0.7393,-90.3518,66.54,96,37,9.33,scattered clouds
30,Nikolskoye,RU,59.7035,30.7861,48.09,77,100,4.25,overcast clouds
31,Torbay,CA,47.6666,-52.7314,54.57,86,92,4.0,overcast clouds
32,New Norfolk,AU,-42.7826,147.0587,50.92,69,76,1.01,broken clouds
33,Longyearbyen,SJ,78.2186,15.6401,42.64,70,75,14.97,light rain
34,Buchanan,LR,5.8808,-10.0467,76.44,86,100,1.41,light rain
35,Lebu,CL,-37.6167,-73.65,45.9,86,6,6.33,clear sky
36,Ahipara,NZ,-35.1667,173.1667,58.44,96,67,5.21,light rain
37,Henties Bay,NA,-22.116,14.2845,54.86,66,0,8.9,clear sky
38,Lagoa,PT,39.05,-27.9833,70.9,80,6,9.35,clear sky
39,Barrow,US,71.2906,-156.7887,33.82,80,90,11.5,overcast clouds
40,Albany,US,42.6001,-73.9662,63.09,95,100,3.22,overcast clouds
41,Ribeira Grande,PT,38.5167,-28.7,70.2,83,20,0.0,few clouds
42,Saint-Philippe,RE,-21.3585,55.7679,79.11,69,0,11.5,clear sky
43,Saint George,US,37.1041,-113.5841,76.32,20,1,1.99,clear sky
44,Olinda,BR,-8.0089,-34.8553,76.73,73,40,12.66,scattered clouds
45,Vaini,TO,-21.2,-175.2,75.36,94,20,6.91,few clouds
46,Abakaliki,NG,6.3163,8.1169,78.69,85,100,3.02,overcast clouds
47,Fortuna,US,40.5982,-124.1573,55.18,69,20,0.0,few clouds
48,Guaruja,BR,-23.9931,-46.2564,73.0,92,100,13.0,overcast clouds
49,Kapaa,US,22.0752,-159.319,75.18,83,90,8.05,heavy intensity rain
50,Bredasdorp,ZA,-34.5322,20.0403,58.28,63,97,8.61,overcast clouds
51,Clyde River,CA,70.4692,-68.5914,28.92,75,78,2.66,broken clouds
52,Atuona,PF,-9.8,-139.0333,77.85,71,2,20.24,clear sky
53,Norman Wells,CA,65.282,-126.8329,44.29,91,97,5.86,overcast clouds
54,Khorinsk,RU,52.1657,109.7726,60.91,50,42,14.27,scattered clouds
55,Chokurdakh,RU,70.6333,147.9167,37.24,78,100,8.01,overcast clouds
56,Tiksi,RU,71.6872,128.8694,42.89,71,100,5.68,overcast clouds
57,Busselton,AU,-33.65,115.3333,54.09,63,77,17.29,broken clouds
58,East London,ZA,-33.0153,27.9116,61.66,67,96,13.56,light rain
59,Huarmey,PE,-10.0681,-78.1522,60.91,87,78,7.76,broken clouds
60,Kamenka,RU,51.3223,42.7678,58.62,39,26,13.22,scattered clouds
61,Prien,US,30.1819,-93.2738,75.2,95,90,6.91,overcast clouds
62,Lopsmarka,NO,67.3134,14.4493,53.51,61,75,8.01,broken clouds
63,Narsaq,GL,60.9167,-46.05,34.02,45,100,1.66,overcast clouds
64,Bluff,NZ,-46.6,168.3333,40.8,64,70,11.18,broken clouds
65,Yellowknife,CA,62.456,-114.3525,40.42,61,100,13.31,overcast clouds
66,Syzran,RU,53.1585,48.4681,53.87,64,99,9.35,overcast clouds
67,Mucuri,BR,-18.0864,-39.5508,72.19,89,25,6.02,scattered clouds
68,Vostok,RU,46.4856,135.8833,52.92,72,100,4.07,moderate rain
69,Kodiak,US,57.79,-152.4072,49.35,97,100,19.89,light rain
70,Mataura,NZ,-46.1927,168.8643,40.48,91,53,2.86,broken clouds
71,Jamiltepec,MX,16.2833,-97.8167,70.48,97,98,2.1,overcast clouds
72,Bethel,US,41.3712,-73.414,71.04,88,90,5.75,overcast clouds
73,Roebourne,AU,-20.7833,117.1333,87.57,20,5,10.58,clear sky
74,Luena,AO,-11.7833,19.9167,94.55,15,4,3.51,clear sky
75,Lakes Entrance,AU,-37.8811,147.981,51.57,83,6,9.84,clear sky
76,Bekovo,RU,52.4663,43.712,52.77,54,86,15.73,overcast clouds
77,Kushima,JP,31.4583,131.2333,79.43,93,75,4.79,broken clouds
78,Gurupi,BR,-11.7292,-49.0686,78.35,30,3,4.83,clear sky
79,Ampanihy,MG,-24.7,44.75,94.15,19,0,2.42,clear sky
80,Tessalit,ML,20.1986,1.0114,95.97,24,0,7.58,clear sky
81,Aklavik,CA,68.2191,-135.0107,45.61,83,82,5.5,broken clouds
82,Dingle,PH,10.9995,122.6711,77.47,86,100,6.26,moderate rain
83,Tasiilaq,GL,65.6145,-37.6368,35.76,85,96,6.26,overcast clouds
84,Lehigh Acres,US,26.6254,-81.6248,77.95,98,1,4.61,clear sky
85,Mochalishche,RU,56.3306,48.3547,47.17,74,100,9.93,overcast clouds
86,Abha,SA,18.2164,42.5053,75.45,33,40,13.8,scattered clouds
87,Imues,CO,1.0607,-77.5004,50.29,90,86,6.42,overcast clouds
88,Kuala Terengganu,MY,5.3302,103.1408,82.65,81,57,9.57,broken clouds
89,Jining,CN,35.405,116.5814,81.59,62,17,6.06,few clouds
90,Capaci,IT,38.1711,13.2393,83.75,47,0,1.99,clear sky
91,Ostrovnoy,RU,68.0531,39.5131,44.78,92,100,20.36,overcast clouds
92,Lorengau,PG,-2.0226,147.2712,76.64,87,100,6.08,overcast clouds
93,Faanui,PF,-16.4833,-151.75,78.85,75,1,19.64,clear sky
94,Bilibino,RU,68.0546,166.4372,21.81,90,87,3.4,overcast clouds
95,Aksarka,RU,66.5606,67.7975,42.71,84,100,15.46,overcast clouds
96,Seguela,CI,7.9611,-6.6731,72.46,95,100,5.32,overcast clouds
97,Pevek,RU,69.7008,170.3133,31.66,95,100,10.54,light snow
98,Srandakan,ID,-7.9386,110.2506,80.26,75,70,12.64,broken clouds
99,Avarua,CK,-21.2078,-159.775,75.25,78,75,10.36,broken clouds
100,Sitka,US,57.0531,-135.33,49.89,81,90,8.05,light rain
101,Golspie,GB,57.9727,-3.978,60.15,83,6,2.89,clear sky
102,Dingli,MT,35.8614,14.3822,80.82,61,0,11.5,clear sky
103,Kiama,AU,-34.6833,150.8667,58.37,77,34,3.78,scattered clouds
104,Serebryanyy Bor,RU,56.8,124.8,35.01,97,100,13.6,light rain
105,Thompson,CA,55.7435,-97.8558,43.41,91,0,9.1,clear sky
106,Peterhead,GB,57.5058,-1.7981,56.12,86,100,9.31,overcast clouds
107,Yenagoa,NG,4.9247,6.2642,79.2,85,89,3.98,overcast clouds
108,Deputatskiy,RU,69.3,139.9,39.92,85,99,3.78,overcast clouds
109,Altay,CN,47.8667,88.1167,74.84,17,92,5.91,overcast clouds
110,Flinders,AU,-34.5833,150.8552,58.17,75,49,1.01,scattered clouds
111,Vawkavysk,BY,53.1561,24.4513,56.89,63,100,13.8,overcast clouds
112,Hermanus,ZA,-34.4187,19.2345,60.91,67,100,8.79,overcast clouds
113,Inongo,CD,-1.95,18.2667,68.16,99,100,6.82,moderate rain
114,Jacareacanga,BR,-6.2222,-57.7528,70.34,86,0,1.1,clear sky
115,Auki,SB,-8.7676,160.7034,77.11,87,22,5.7,few clouds
116,Hoopstad,ZA,-27.8327,25.9083,69.39,11,45,7.14,scattered clouds
117,Stephenville,US,32.2207,-98.2023,70.77,81,1,0.0,clear sky
118,Mandalgovi,MN,45.7625,106.2708,70.34,27,66,13.24,broken clouds
119,Rahuri,IN,19.3833,74.65,86.23,51,40,16.67,scattered clouds
120,Jalu,LY,29.0331,21.5482,84.15,28,0,7.14,clear sky
121,Mount Gambier,AU,-37.8333,140.7667,49.23,83,0,3.76,clear sky
122,Namibe,AO,-15.1961,12.1522,69.4,68,17,5.7,few clouds
123,Yilan,TW,24.757,121.753,89.06,88,88,4.12,overcast clouds
124,Caernarfon,GB,53.1413,-4.2702,63.09,42,75,3.44,broken clouds
125,Saint Simons,US,31.1352,-81.3901,78.84,93,1,0.0,clear sky
126,Kara-Tyube,RU,44.6336,45.4369,80.24,34,63,10.36,broken clouds
127,Hambantota,LK,6.1241,81.1185,87.22,64,96,23.49,light rain
128,Jiuquan,CN,39.7432,98.5174,79.0,17,0,8.32,clear sky
129,Kalabo,ZM,-14.97,22.6814,96.17,15,25,7.9,scattered clouds
130,Hobart,AU,-42.8794,147.3294,51.26,79,75,10.36,broken clouds
131,Kismayo,SO,-0.3582,42.5454,82.53,69,19,15.35,few clouds
132,Tuktoyaktuk,CA,69.4541,-133.0374,44.08,85,48,8.32,scattered clouds
133,Gamba,GA,-2.65,10.0,79.86,78,98,7.09,overcast clouds
134,Peoria,US,40.7667,-89.7668,59.79,73,0,5.1,clear sky
135,Caravelas,BR,-17.7125,-39.2481,71.53,90,2,3.85,clear sky
136,Upernavik,GL,72.7868,-56.1549,26.42,80,99,7.4,overcast clouds
137,Maniitsoq,GL,65.4167,-52.9,34.61,49,100,6.17,overcast clouds
138,Honiara,SB,-9.4333,159.95,78.44,87,38,6.89,scattered clouds
139,Dikson,RU,73.5069,80.5464,38.34,90,100,25.14,overcast clouds
140,Luderitz,NA,-26.6481,15.1594,66.54,36,0,21.79,clear sky
141,Hamilton,US,39.1834,-84.5333,67.05,94,20,0.0,few clouds
142,Kaniv,UA,49.7518,31.46,66.85,35,58,5.95,broken clouds
143,Port Elizabeth,ZA,-33.918,25.5701,59.09,78,95,12.55,light rain
144,Tura,IN,25.5198,90.2201,81.54,87,100,2.08,overcast clouds
145,Port Shepstone,ZA,-30.7414,30.455,61.03,91,100,8.93,moderate rain
146,Lompoc,US,34.6391,-120.4579,58.08,90,90,0.0,overcast clouds
147,Pisz,PL,53.6274,21.8125,61.05,91,100,10.51,overcast clouds
148,Manacapuru,BR,-3.2997,-60.6206,79.38,79,0,1.1,clear sky
149,Kutum,SD,14.2,24.6667,88.66,18,75,19.93,broken clouds
150,Lavrentiya,RU,65.5833,-171.0,35.53,73,98,8.48,overcast clouds
151,Manzhouli,CN,49.6,117.4333,63.37,58,60,6.35,broken clouds
152,Ketchikan,US,55.3422,-131.6461,47.19,86,99,2.98,overcast clouds
153,Saint-Denis,FR,48.9167,2.3333,67.5,73,0,4.0,clear sky
154,Cabra,ES,37.4725,-4.4421,74.39,72,1,1.99,clear sky
155,Coquimbo,CL,-29.9533,-71.3436,47.93,87,20,2.3,few clouds
156,Avera,US,33.194,-82.5271,71.47,98,100,7.16,light rain
157,Ercis,TR,39.0287,43.3586,71.2,29,0,10.49,clear sky
158,Saldanha,ZA,-33.0117,17.9442,59.72,68,0,23.44,clear sky
159,Carnarvon,AU,-24.8667,113.6333,66.24,57,6,20.96,clear sky
160,Seoul,KR,37.5683,126.9778,78.24,44,100,2.04,overcast clouds
161,Porkhov,RU,57.765,29.5561,49.89,50,73,2.21,broken clouds
162,Broome,US,42.2506,-75.833,62.17,81,40,1.01,mist
163,Mantua,IT,45.1667,10.7833,74.08,85,100,3.0,moderate rain
164,Alta Floresta,BR,-9.8756,-56.0861,70.56,91,1,2.55,clear sky
165,Moranbah,AU,-22.0016,148.0466,72.14,28,0,11.18,clear sky
166,Pingliang,CN,35.5392,106.6861,69.66,54,66,6.13,broken clouds
167,Christchurch,NZ,-43.5333,172.6333,45.91,84,75,1.01,broken clouds
168,Faya,SA,18.3851,42.4509,75.72,30,24,8.77,few clouds
169,Hammerfest,NO,70.6634,23.6821,46.85,61,0,5.75,clear sky
170,Madimba,TZ,-10.4,40.3333,82.87,61,68,8.34,broken clouds
171,Santa Maria,BR,-29.6842,-53.8069,45.52,94,1,4.59,clear sky
172,Obama,JP,35.4958,135.746,70.63,78,98,7.58,overcast clouds
173,Aracaju,BR,-10.9111,-37.0717,78.75,78,40,10.36,scattered clouds
174,Saint-Joseph,RE,-21.3667,55.6167,78.1,69,8,8.79,clear sky
175,Tabas,IR,33.5959,56.9244,97.95,6,0,3.91,clear sky
176,Bucerias,MX,20.75,-105.3333,76.98,98,52,2.91,broken clouds
177,Campos Altos,BR,-19.6961,-46.1714,62.06,73,74,3.36,broken clouds
178,Kargopol,RU,61.5071,38.9456,47.23,57,71,7.38,broken clouds
179,Minot,US,48.2325,-101.2963,57.11,63,90,5.01,overcast clouds
180,Belaya Gora,RU,68.5333,146.4167,44.4,74,100,7.09,overcast clouds
181,Limbang,MY,4.75,115.0,84.31,81,100,0.31,overcast clouds
182,San Patricio,US,28.017,-97.5169,78.82,78,56,5.59,broken clouds
183,Rabo De Peixe,PT,37.8,-25.5833,67.51,83,40,1.14,scattered clouds
184,Hailey,US,43.5196,-114.3153,49.86,50,1,9.22,clear sky
185,Pisco,PE,-13.7,-76.2167,59.05,88,50,10.36,scattered clouds
186,Srednekolymsk,RU,67.45,153.6833,37.81,67,74,5.84,broken clouds
187,Bonavista,CA,48.6499,-53.1147,54.12,82,100,23.58,overcast clouds
188,Pemangkat,ID,1.1667,108.9667,83.59,68,34,7.0,scattered clouds
189,Khatanga,RU,71.9667,102.5,35.19,91,100,13.15,overcast clouds
190,Garowe,SO,8.4054,48.4845,92.34,35,100,22.19,overcast clouds
191,Qaanaaq,GL,77.484,-69.3632,16.14,75,100,8.66,overcast clouds
192,Esperance,AU,-33.8667,121.9,53.44,72,38,28.25,moderate rain
193,Coihaique,CL,-45.5752,-72.0662,48.15,76,90,4.61,light rain
194,Noumea,NC,-22.2763,166.4572,66.18,60,63,10.67,broken clouds
195,Cidreira,BR,-30.1811,-50.2056,54.63,68,54,2.3,broken clouds
196,Bonoua,CI,5.2741,-3.595,78.42,80,74,5.35,broken clouds
197,Imbituba,BR,-28.24,-48.6703,60.69,93,100,1.01,overcast clouds
198,Kahului,US,20.8947,-156.47,75.22,79,1,0.0,clear sky
199,Riyadh,SA,24.6877,46.7219,98.74,8,9,9.84,clear sky
200,Deniliquin,AU,-35.5333,144.9667,55.99,61,18,7.36,few clouds
201,Korablino,RU,53.9164,40.0133,52.93,67,65,12.59,broken clouds
202,La Ronge,CA,55.1001,-105.2842,49.66,50,7,19.17,clear sky
203,Ponta Do Sol,PT,32.6667,-17.1,75.0,70,17,4.7,few clouds
204,Marystown,CA,47.1666,-55.1483,56.32,85,78,20.18,broken clouds
205,Nantucket,US,41.2835,-70.0995,73.99,94,1,9.22,clear sky
206,Talnakh,RU,69.4865,88.3972,38.73,97,100,11.25,light rain
207,Tres Arroyos,AR,-38.3739,-60.2798,45.05,57,0,8.57,clear sky
208,Poum,NC,-20.2333,164.0167,70.61,60,83,18.03,broken clouds
209,Mahina,PF,-17.5065,-149.489,76.77,78,75,3.44,light rain
210,Cape Town,ZA,-33.9258,18.4232,65.1,64,12,5.99,few clouds
211,Alice Springs,AU,-23.7,133.8833,90.95,13,42,10.36,scattered clouds
212,Polyanka,UA,50.2584,27.6881,69.31,45,25,8.97,scattered clouds
213,Padang,ID,-0.9492,100.3543,86.05,80,46,3.65,scattered clouds
214,Makakilo City,US,21.3469,-158.0858,77.32,78,1,4.61,clear sky
215,Korla,CN,41.7597,86.1469,86.61,16,98,18.52,overcast clouds
216,Midland,US,31.9974,-102.0779,72.27,63,1,10.36,clear sky
217,Bambous Virieux,MU,-20.3428,57.7575,76.21,72,4,9.22,clear sky
218,Sept-Iles,CA,50.2001,-66.3821,49.05,94,91,5.99,overcast clouds
219,Port-Gentil,GA,-0.7193,8.7815,77.4,82,89,9.24,overcast clouds
220,Tual,ID,-5.6667,132.75,82.06,80,8,15.57,clear sky
221,Wanning,CN,18.8003,110.3967,85.15,70,96,8.28,overcast clouds
222,Richards Bay,ZA,-28.783,32.0377,67.08,75,100,6.04,light rain
223,Pavilosta,LV,56.8879,21.1859,57.11,66,100,16.91,overcast clouds
224,Saint Anthony,US,45.0205,-93.218,69.69,61,75,4.0,broken clouds
225,Saskylakh,RU,71.9167,114.0833,41.45,93,100,15.01,light rain
226,Nyandoma,RU,61.669,40.1991,45.28,59,80,8.16,broken clouds
227,Mariental,NA,-24.6333,17.9667,63.25,22,0,8.86,clear sky
